DynoWare,Version 3.2.2.0
Path:,D:\Parn (paper ML Weld)\Post welding\
Filename:,Sample 53.dwd
Config ID:,Sample 53.cfg
Setup ID:,0
Manipulated:,0
Filename 1:, 
Filename 2:, 
Date:,Friday, January 03, 2025
Time:,18:00:45
Sampling rate [Hz]:,100
Measuring time [s]:,180
Delay time [s]:,0
Cycle time [s]:,0
Cycles:,1
Samples per channel:,18001
Cycle interval:,0
Cycle No:,1
Time,Mz,Fz,Fy,Fx
s,N,kN,kN,kN
0,0.30038,-0.52063,0.00783648,0.00597273
0.01,0.320435,-0.519278,0.00839233,0.0063215
0.02,0.299072,-0.520804,0.00783648,0.00597273
0.03,0.320435,-0.518014,0.00850133,0.0063542
0.04,0.299072,-0.520935,0.00778198,0.00595093
0.05,0.322614,-0.517753,0.00854492,0.0063542
0.06,0.297764,-0.520935,0.00776018,0.00594003
0.07,0.322178,-0.518973,0.00856672,0.00639779
0.08,0.296892,-0.52124,0.00772749,0.00588553
0.09,0.324794,-0.517971,0.00850133,0.00636509
0.1,0.296892,-0.520674,0.00779288,0.00587463
0.11,0.324358,-0.518668,0.00851223,0.00638689
0.12,0.296021,-0.520325,0.00774929,0.00586373
0.13,0.32523,-0.517796,0.00858852,0.00643049
0.14,0.294713,-0.519278,0.00769479,0.00588553
0.15,0.326102,-0.516924,0.00862122,0.00641959
0.16,0.293841,-0.520063,0.00764029,0.00583104
0.17,0.32523,-0.51736,0.00864301,0.00645229
0.18,0.293405,-0.520194,0.00766209,0.00580924
0.19,0.32741,-0.517753,0.00866481,0.00646319
0.2,0.292097,-0.519976,0.00768389,0.00580924
0.21,0.329154,-0.517622,0.00867571,0.00649588
0.22,0.291225,-0.520935,0.0076185,0.00578744
0.23,0.330026,-0.51845,0.00866481,0.00649588
0.24,0.291225,-0.521284,0.0076076,0.00583104
0.25,0.332206,-0.517099,0.00874111,0.00655038
0.26,0.292533,-0.520804,0.0075749,0.00579834
0.27,0.333078,-0.517229,0.0087629,0.00655038
0.28,0.290353,-0.520063,0.0075313,0.00575474
0.29,0.333078,-0.517709,0.00874111,0.00652858
0.3,0.289045,-0.519932,0.0075204,0.00571115
0.31,0.332206,-0.517578,0.00871931,0.00651768
0.32,0.287737,-0.521807,0.007564,0.00573295
0.33,0.334821,-0.518537,0.0088065,0.00653948
0.34,0.288173,-0.521633,0.00749861,0.00572205
0.35,0.334385,-0.518537,0.0088501,0.00657218
0.36,0.285993,-0.521763,0.00748771,0.00571115
0.37,0.333514,-0.519278,0.0088501,0.00659398
0.38,0.284249,-0.522287,0.00741141,0.00563485
0.39,0.336129,-0.519104,0.0088501,0.00661578
0.4,0.284685,-0.523682,0.00745501,0.00566755
0.41,0.337873,-0.519845,0.0088719,0.00662667
0.42,0.284685,-0.522897,0.00743321,0.00564575
0.43,0.337001,-0.519627,0.0088828,0.00665937
0.44,0.282942,-0.521851,0.00738961,0.00563485
0.45,0.339617,-0.518058,0.00893729,0.00667027
0.46,0.282942,-0.522984,0.00741141,0.00564575
0.47,0.340489,-0.518973,0.00901358,0.00671387
0.48,0.282506,-0.521807,0.00743321,0.00563485
0.49,0.339617,-0.518101,0.00895909,0.00665937
0.5,0.279454,-0.521458,0.00735692,0.00554766
0.51,0.339617,-0.516401,0.00899179,0.00671387
0.52,0.279454,-0.520412,0.00735692,0.00555856
0.53,0.341797,-0.517186,0.00901358,0.00670297
0.54,0.279018,-0.521284,0.00732422,0.00554766
0.55,0.343977,-0.516837,0.00905718,0.00670297
0.56,0.278582,-0.521938,0.00726972,0.00553676
0.57,0.344413,-0.517186,0.00910078,0.00673567
0.58,0.27771,-0.521633,0.00729152,0.00550406
0.59,0.344849,-0.516357,0.00911168,0.00674656
0.6,0.276402,-0.521894,0.00725882,0.00544957
0.61,0.345285,-0.517491,0.00908988,0.00674656
0.62,0.275094,-0.521807,0.00724792,0.00547137
0.63,0.343541,-0.517535,0.00911168,0.00677926
0.64,0.273786,-0.521981,0.00719343,0.00546047
0.65,0.346157,-0.516532,0.00912258,0.00677926
0.66,0.27335,-0.521371,0.00720433,0.00547137
0.67,0.3479,-0.51627,0.00924247,0.00682286
0.68,0.274658,-0.521589,0.00717163,0.00542777
0.69,0.349208,-0.515921,0.00922067,0.00685556
0.7,0.271606,-0.522112,0.00714983,0.00540597
0.71,0.348336,-0.516968,0.00918797,0.00681196
0.72,0.269427,-0.522374,0.00710624,0.00537327
0.73,0.3479,-0.516488,0.00922067,0.00683376
0.74,0.27117,-0.521371,0.00713893,0.00540597
0.75,0.351824,-0.516314,0.00922067,0.00688825
0.76,0.27117,-0.521851,0.00713893,0.00540597
0.77,0.351388,-0.516575,0.00927516,0.00692095
0.78,0.268119,-0.521502,0.00702994,0.00534058
0.79,0.35226,-0.51518,0.00927516,0.00689915
0.8,0.268555,-0.522069,0.00700814,0.00535148
0.81,0.351824,-0.515791,0.00930786,0.00694275
0.82,0.268119,-0.521807,0.00707354,0.00532968
0.83,0.354876,-0.516924,0.00935146,0.00695365
0.84,0.267683,-0.522417,0.00704084,0.00535148
0.85,0.354004,-0.515529,0.00931876,0.00696455
0.86,0.265067,-0.521851,0.00697545,0.00531878
0.87,0.353568,-0.514701,0.00928606,0.00692095
0.88,0.264195,-0.520891,0.00694275,0.00529698
0.89,0.355748,-0.515311,0.00939505,0.00699724
0.9,0.263759,-0.522548,0.00692095,0.00527518
0.91,0.355312,-0.515486,0.00939505,0.00697545
0.92,0.261143,-0.521458,0.00689915,0.00523158
0.93,0.355312,-0.515747,0.00941685,0.00697545
0.94,0.260271,-0.52233,0.00686646,0.00517709
0.95,0.3588,-0.515355,0.00940595,0.00698635
0.96,0.261579,-0.521807,0.00686646,0.00525338
0.97,0.359671,-0.515486,0.00944955,0.00701904
0.98,0.261143,-0.521458,0.00683376,0.00519889
0.99,0.359671,-0.515267,0.00951495,0.00704084
1,0.259399,-0.521197,0.00683376,0.00518799
1.01,0.359671,-0.515311,0.00949315,0.00704084
1.02,0.259835,-0.522984,0.00674656,0.00514439
1.03,0.361415,-0.51627,0.00952584,0.00708444
1.04,0.256348,-0.522199,0.00679016,0.00514439
1.05,0.361851,-0.513524,0.00950405,0.00710624
1.06,0.25722,-0.520499,0.00679016,0.00514439
1.07,0.363159,-0.514003,0.00958034,0.00717163
1.08,0.255912,-0.520717,0.00676836,0.00514439
1.09,0.363159,-0.513829,0.00956944,0.00712803
1.1,0.255476,-0.521589,0.00667027,0.0051008
1.11,0.364467,-0.515267,0.00958034,0.00716073
1.12,0.254604,-0.522243,0.00669207,0.0051008
1.13,0.365339,-0.515006,0.00963484,0.00716073
1.14,0.25286,-0.522025,0.00669207,0.005079
1.15,0.365775,-0.51457,0.00965663,0.00718253
1.16,0.253296,-0.522025,0.00670297,0.005079
1.17,0.368827,-0.514832,0.00962394,0.00718253
1.18,0.253732,-0.522374,0.00668117,0.0050899
1.19,0.367519,-0.514744,0.00967843,0.00721523
1.2,0.251116,-0.521851,0.00656128,0.0050463
1.21,0.366647,-0.514003,0.00967843,0.00717163
1.22,0.2485,-0.522374,0.00655038,0.0050463
1.23,0.368827,-0.514875,0.00971113,0.00720433
1.24,0.249808,-0.521763,0.00655038,0.0050027
1.25,0.369699,-0.514265,0.00974383,0.00726972
1.26,0.248936,-0.522635,0.00659398,0.0050245
1.27,0.369699,-0.513131,0.00976563,0.00729152
1.28,0.2485,-0.522679,0.00651768,0.0049918
1.29,0.369699,-0.514308,0.00977652,0.00724792
1.3,0.245884,-0.522112,0.00650678,0.00494821
1.31,0.370571,-0.515573,0.00977652,0.00726972
1.32,0.24632,-0.524118,0.00648499,0.00493731
1.33,0.373186,-0.515267,0.00988552,0.00735692
1.34,0.2485,-0.523289,0.00648499,0.00497001
