DynoWare,Version 3.2.2.0
Path:,D:\Parn (paper ML Weld)\Post welding\
Filename:,Sample 20.dwd
Config ID:,Sample 20.cfg
Setup ID:,0
Manipulated:,0
Filename 1:, 
Filename 2:, 
Date:,Thursday, January 02, 2025
Time:,14:50:32
Sampling rate [Hz]:,100
Measuring time [s]:,180
Delay time [s]:,0
Cycle time [s]:,0
Cycles:,1
Samples per channel:,18001
Cycle interval:,0
Cycle No:,1
Time,Mz,Fz,Fy,Fx
s,N,kN,kN,kN
0,-0.416347,0.0529262,-0.000861032,0.00489371
0.01,-0.421579,0.0514875,-0.00112261,0.00478472
0.02,-0.415911,0.0528826,-0.000795637,0.00486101
0.03,-0.420271,0.0527082,-0.00114441,0.00475202
0.04,-0.416783,0.053057,-0.000762939,0.00488281
0.05,-0.422015,0.0517491,-0.00114441,0.00478472
0.06,-0.417219,0.0521851,-0.000795637,0.00487191
0.07,-0.422015,0.0519671,-0.00116621,0.00477382
0.08,-0.417655,0.0531878,-0.000806536,0.00488281
0.09,-0.422015,0.0514875,-0.00107901,0.00476292
0.1,-0.418091,0.0528826,-0.000795637,0.00488281
0.11,-0.422015,0.0526646,-0.00112261,0.00476292
0.12,-0.418091,0.0534058,-0.000784738,0.00487191
0.13,-0.42245,0.0518363,-0.00111171,0.00478472
0.14,-0.418091,0.0527082,-0.000784738,0.00486101
0.15,-0.42245,0.0521851,-0.00113351,0.00477382
0.16,-0.418091,0.052403,-0.000806536,0.00488281
0.17,-0.422015,0.0525338,-0.00113351,0.00476292
0.18,-0.416783,0.0531878,-0.000850133,0.00487191
0.19,-0.420707,0.0533186,-0.00107901,0.00479562
0.2,-0.417219,0.053057,-0.000828334,0.00488281
0.21,-0.420271,0.0520107,-0.00107901,0.00480652
0.22,-0.416347,0.0535366,-0.000839233,0.00487191
0.23,-0.421143,0.0527954,-0.00117711,0.00478472
0.24,-0.417655,0.0528826,-0.000806536,0.00485012
0.25,-0.421143,0.0527518,-0.00113351,0.00480652
0.26,-0.415911,0.052839,-0.000773839,0.00489371
0.27,-0.42245,0.0523158,-0.00110081,0.00480652
0.28,-0.418091,0.0521851,-0.000773839,0.00489371
0.29,-0.421579,0.0516183,-0.00108991,0.00476292
0.3,-0.416783,0.0525774,-0.000806536,0.00488281
0.31,-0.42245,0.0511387,-0.00104632,0.00478472
0.32,-0.417655,0.0533622,-0.000861032,0.00488281
0.33,-0.421579,0.0523594,-0.00113351,0.00477382
0.34,-0.417655,0.0538417,-0.000839233,0.00489371
0.35,-0.421143,0.0524466,-0.00110081,0.00477382
0.36,-0.417219,0.0543213,-0.000828334,0.00485012
0.37,-0.42245,0.0529698,-0.00115531,0.00476292
0.38,-0.418091,0.0535802,-0.000828334,0.00488281
0.39,-0.422886,0.0524902,-0.00111171,0.00478472
0.4,-0.417655,0.0531006,-0.000839233,0.00488281
0.41,-0.42245,0.052621,-0.00108991,0.00476292
