DynoWare,Version 3.2.2.0
Path:,D:\Parn (paper ML Weld)\Post welding\
Filename:,Sample 17.dwd
Config ID:,Sample 17.cfg
Setup ID:,0
Manipulated:,0
Filename 1:, 
Filename 2:, 
Date:,Thursday, January 02, 2025
Time:,14:17:21
Sampling rate [Hz]:,100
Measuring time [s]:,180
Delay time [s]:,0
Cycle time [s]:,0
Cycles:,1
Samples per channel:,18001
Cycle interval:,0
Cycle No:,1
Time,Mz,Fz,Fy,Fx
s,N,kN,kN,kN
0,91.2824,-0.432303,0.716771,-0.0542232
0.01,91.2859,-0.431955,0.717021,-0.0541251
0.02,91.2833,-0.43239,0.716814,-0.0541905
0.03,91.2872,-0.432739,0.717043,-0.0541142
0.04,91.2837,-0.434004,0.716847,-0.0542232
0.05,91.2872,-0.432565,0.717065,-0.0541687
0.06,91.2829,-0.432739,0.716847,-0.0542232
0.07,91.2859,-0.432652,0.717054,-0.0541578
0.08,91.282,-0.433568,0.716836,-0.0542123
0.09,91.2864,-0.431911,0.717098,-0.0541687
0.1,91.282,-0.433044,0.716814,-0.0542341
0.11,91.2868,-0.433568,0.717087,-0.054136
0.12,91.282,-0.434047,0.716793,-0.0542341
0.13,91.2859,-0.432914,0.717076,-0.0541033
0.14,91.2824,-0.43348,0.716825,-0.0542232
0.15,91.2855,-0.433262,0.717065,-0.0541578
0.16,91.2824,-0.433568,0.716814,-0.0542232
0.17,91.2864,-0.433568,0.717032,-0.0541251
0.18,91.2816,-0.434919,0.716836,-0.0542123
0.19,91.2864,-0.434004,0.717054,-0.054136
0.2,91.2833,-0.433786,0.716793,-0.0542232
0.21,91.2872,-0.433393,0.717076,-0.054136
0.22,91.2816,-0.434788,0.716793,-0.0542232
0.23,91.2855,-0.432478,0.717076,-0.0541142
0.24,91.2811,-0.43396,0.716814,-0.054245
0.25,91.2859,-0.43396,0.717065,-0.0541033
0.26,91.282,-0.433916,0.716803,-0.0542014
0.27,91.2868,-0.433175,0.717032,-0.0541251
0.28,91.2837,-0.433786,0.716771,-0.0542014
0.29,91.2859,-0.434134,0.717032,-0.054136
0.3,91.2816,-0.434091,0.716782,-0.0542232
0.31,91.285,-0.432914,0.717098,-0.0541033
0.32,91.2824,-0.433829,0.716793,-0.0542232
0.33,91.2864,-0.432434,0.71713,-0.0541251
0.34,91.2816,-0.434658,0.716814,-0.0542014
0.35,91.2855,-0.433219,0.717098,-0.0541142
0.36,91.282,-0.434352,0.716814,-0.0542232
0.37,91.2868,-0.432914,0.717087,-0.054136
0.38,91.2824,-0.433393,0.716793,-0.0542232
