DynoWare,Version 3.2.2.0
Path:,D:\Parn (paper ML Weld)\Post welding\
Filename:,Sample 36.dwd
Config ID:,Sample 36.cfg
Setup ID:,0
Manipulated:,0
Filename 1:, 
Filename 2:, 
Date:,Friday, January 03, 2025
Time:,11:13:21
Sampling rate [Hz]:,100
Measuring time [s]:,180
Delay time [s]:,0
Cycle time [s]:,0
Cycles:,1
Samples per channel:,18001
Cycle interval:,0
Cycle No:,1
Time,Mz,Fz,Fy,Fx
s,N,kN,kN,kN
0,-1.22158,-0.217242,-0.00722613,-0.020959
0.01,-0.968715,-0.200413,-0.000643049,-0.0161852
0.02,-1.22158,-0.218244,-0.00720433,-0.0209372
0.03,-0.968279,-0.201721,-0.000610352,-0.0161634
0.04,-1.2207,-0.216021,-0.00713893,-0.0209372
0.05,-0.968279,-0.200021,-0.000643049,-0.0162179
0.06,-1.22158,-0.216282,-0.00718253,-0.020959
0.07,-0.968715,-0.201285,-0.000686646,-0.0162506
0.08,-1.2207,-0.215498,-0.00719343,-0.0209699
0.09,-0.967843,-0.200326,-0.000664847,-0.0162397
0.1,-1.2207,-0.215149,-0.00711714,-0.0209372
0.11,-0.967843,-0.200195,-0.000599452,-0.0162179
0.12,-1.2207,-0.216239,-0.00719343,-0.0209263
0.13,-0.968715,-0.199541,-0.000621251,-0.0161961
0.14,-1.2207,-0.215977,-0.00714983,-0.0209372
0.15,-0.969587,-0.200239,-0.00063215,-0.016207
0.16,-1.22158,-0.215803,-0.00711714,-0.0209263
0.17,-0.969151,-0.201329,-0.00063215,-0.0162288
0.18,-1.22158,-0.215716,-0.00714983,-0.0208827
0.19,-0.969151,-0.200283,-0.000621251,-0.0161961
0.2,-1.22027,-0.215977,-0.00711714,-0.0208936
0.21,-0.969587,-0.2005,-0.00063215,-0.0161961
0.22,-1.22114,-0.217111,-0.00717163,-0.0209481
0.23,-0.969151,-0.200762,-0.000621251,-0.0161743
0.24,-1.21983,-0.215977,-0.00716073,-0.0209372
0.25,-0.969151,-0.200283,-0.000643049,-0.0162288
0.26,-1.2207,-0.216457,-0.00711714,-0.0209372
0.27,-0.969151,-0.201372,-0.000664847,-0.0162288
0.28,-1.22027,-0.216849,-0.00706264,-0.0209263
0.29,-0.969587,-0.200936,-0.00063215,-0.0162506
0.3,-1.22027,-0.216544,-0.00712803,-0.0209154
0.31,-0.969587,-0.201285,-0.000610352,-0.0162179
0.32,-1.21983,-0.216762,-0.00708444,-0.0209154
0.33,-0.968279,-0.201416,-0.000621251,-0.0161961
0.34,-1.2194,-0.217939,-0.00711714,-0.0209481
0.35,-0.970023,-0.201503,-0.00063215,-0.0162288
0.36,-1.21983,-0.21759,-0.00708444,-0.0209045
0.37,-0.969151,-0.20207,-0.00063215,-0.0162288
0.38,-1.21896,-0.216762,-0.00709534,-0.0208936
0.39,-0.968715,-0.202114,-0.000675746,-0.0162724
0.4,-1.21852,-0.2165,-0.00710624,-0.0209154
0.41,-0.968715,-0.200893,-0.000643049,-0.0162288
0.42,-1.21896,-0.21759,-0.00710624,-0.0209045
0.43,-0.970023,-0.201721,-0.00063215,-0.0162397
0.44,-1.2194,-0.217896,-0.00710624,-0.0209263
0.45,-0.969151,-0.200936,-0.00063215,-0.0161852
0.46,-1.21896,-0.215803,-0.00709534,-0.0209045
0.47,-0.969151,-0.201416,-0.000599452,-0.0161852
