DynoWare,Version 3.2.2.0
Path:,D:\Parn (paper ML Weld)\Post welding\
Filename:,Sample 13.dwd
Config ID:,Sample 13.cfg
Setup ID:,0
Manipulated:,0
Filename 1:, 
Filename 2:, 
Date:,Thursday, January 02, 2025
Time:,13:33:46
Sampling rate [Hz]:,100
Measuring time [s]:,180
Delay time [s]:,0
Cycle time [s]:,0
Cycles:,1
Samples per channel:,18001
Cycle interval:,0
Cycle No:,1
Time,Mz,Fz,Fy,Fx
s,N,kN,kN,kN
0,-0.240653,-0.101885,0.00434875,-0.00388009
0.01,-0.241961,-0.100621,0.00429426,-0.00388009
0.02,-0.241961,-0.102234,0.00433786,-0.00385829
0.03,-0.241961,-0.101842,0.00432696,-0.00390189
0.04,-0.241961,-0.100403,0.00431606,-0.00386919
0.05,-0.242833,-0.101536,0.00429426,-0.00389099
0.06,-0.241525,-0.100839,0.00434875,-0.00385829
0.07,-0.243269,-0.101754,0.00430516,-0.00389099
0.08,-0.241525,-0.101536,0.00432696,-0.00389099
0.09,-0.243269,-0.101493,0.00428336,-0.00389099
0.1,-0.241961,-0.102495,0.00433786,-0.00389099
0.11,-0.243269,-0.102626,0.00427246,-0.00388009
0.12,-0.242397,-0.102408,0.00435965,-0.00388009
0.13,-0.241961,-0.101449,0.00428336,-0.00390189
0.14,-0.241961,-0.101885,0.00432696,-0.00389099
0.15,-0.242833,-0.101275,0.00430516,-0.00392369
0.16,-0.241961,-0.101013,0.00433786,-0.00386919
0.17,-0.242397,-0.101362,0.00432696,-0.00389099
0.18,-0.242833,-0.100708,0.00432696,-0.00390189
0.19,-0.243269,-0.101493,0.00429426,-0.00389099
0.2,-0.242397,-0.10049,0.00437055,-0.00390189
0.21,-0.243269,-0.1011,0.00429426,-0.00388009
0.22,-0.242397,-0.100098,0.00434875,-0.00389099
0.23,-0.244141,-0.100577,0.00430516,-0.00391279
0.24,-0.243269,-0.10049,0.00434875,-0.00384739
0.25,-0.244141,-0.100664,0.00428336,-0.00390189
