DynoWare,Version 3.2.2.0
Path:,D:\Parn (paper ML Weld)\Post welding\
Filename:,Sample 26.dwd
Config ID:,Sample 26.cfg
Setup ID:,0
Manipulated:,0
Filename 1:, 
Filename 2:, 
Date:,Thursday, January 02, 2025
Time:,17:15:21
Sampling rate [Hz]:,100
Measuring time [s]:,180
Delay time [s]:,0
Cycle time [s]:,0
Cycles:,1
Samples per channel:,18001
Cycle interval:,0
Cycle No:,1
Time,Mz,Fz,Fy,Fx
s,N,kN,kN,kN
0,-0.158255,-0.409502,0.000566755,-0.0024632
0.01,-0.42463,-0.425066,-0.00622341,-0.00749861
0.02,-0.159999,-0.408674,0.000479562,-0.0025177
0.03,-0.42681,-0.425589,-0.0062561,-0.0075204
0.04,-0.158691,-0.409241,0.000512259,-0.002485
0.05,-0.425066,-0.42463,-0.00619071,-0.00749861
0.06,-0.159127,-0.40802,0.000490461,-0.002485
0.07,-0.425502,-0.424151,-0.00620161,-0.00744411
0.08,-0.162179,-0.408805,0.00050136,-0.0024959
0.09,-0.427246,-0.425633,-0.006267,-0.0075422
0.1,-0.161307,-0.408456,0.000490461,-0.0025395
0.11,-0.424194,-0.424587,-0.00620161,-0.00742231
0.12,-0.158691,-0.408587,0.000577654,-0.0024632
0.13,-0.42463,-0.424325,-0.00620161,-0.00747681
0.14,-0.161307,-0.408892,0.000435965,-0.0025177
0.15,-0.427246,-0.425502,-0.00620161,-0.00744411
0.16,-0.163051,-0.409154,0.000435965,-0.0025286
0.17,-0.42463,-0.425023,-0.00621251,-0.00744411
0.18,-0.160435,-0.408238,0.000490461,-0.002485
0.19,-0.423758,-0.424282,-0.00621251,-0.00745501
0.2,-0.161307,-0.407715,0.000435965,-0.0025068
0.21,-0.425502,-0.424848,-0.00623431,-0.00747681
0.22,-0.162615,-0.407584,0.000435965,-0.002485
0.23,-0.42463,-0.423933,-0.00619071,-0.00744411
0.24,-0.160871,-0.40754,0.000457764,-0.0024741
0.25,-0.425502,-0.423976,-0.00616891,-0.00745501
0.26,-0.162615,-0.407279,0.000414167,-0.0025504
0.27,-0.428554,-0.42341,-0.00623431,-0.0075095
0.28,-0.163487,-0.408151,0.000392369,-0.0025504
0.29,-0.426374,-0.424805,-0.0062452,-0.00749861
0.3,-0.162179,-0.407976,0.000490461,-0.0024959
0.31,-0.42463,-0.423628,-0.00622341,-0.00747681
0.32,-0.162615,-0.407889,0.000414167,-0.0025286
0.33,-0.42681,-0.423628,-0.0062997,-0.0075095
0.34,-0.163051,-0.407017,0.000414167,-0.0025177
0.35,-0.425066,-0.423279,-0.0062452,-0.00749861
0.36,-0.161743,-0.406669,0.000392369,-0.0025068
0.37,-0.424194,-0.423497,-0.00619071,-0.00743321
0.38,-0.163051,-0.407366,0.000392369,-0.0025177
0.39,-0.425502,-0.42341,-0.0062452,-0.00744411
0.4,-0.164359,-0.407889,0.000403268,-0.0025395
0.41,-0.42463,-0.424587,-0.00621251,-0.00745501
0.42,-0.161307,-0.408587,0.00050136,-0.0024741
0.43,-0.422886,-0.423758,-0.00620161,-0.00746591
0.44,-0.161743,-0.408761,0.000435965,-0.0025177
0.45,-0.425066,-0.425677,-0.00619071,-0.00746591
0.46,-0.163051,-0.408064,0.000425066,-0.0025504
0.47,-0.424194,-0.423671,-0.00615801,-0.00744411
0.48,-0.160871,-0.407933,0.000457764,-0.0024741
0.49,-0.423322,-0.422799,-0.00614711,-0.00741141
0.5,-0.162615,-0.406363,0.000446865,-0.0025504
0.51,-0.425502,-0.423453,-0.00622341,-0.00746591
0.52,-0.163487,-0.408282,0.000457764,-0.0025286
0.53,-0.424194,-0.423366,-0.00617981,-0.00740051
0.54,-0.161307,-0.408412,0.000425066,-0.002485
0.55,-0.422886,-0.425241,-0.00615801,-0.00743321
0.56,-0.164795,-0.408761,0.000403268,-0.0025177
0.57,-0.425502,-0.424325,-0.00619071,-0.00746591
0.58,-0.165667,-0.408369,0.000272478,-0.0025722
0.59,-0.425066,-0.42402,-0.0062561,-0.00744411
0.6,-0.163051,-0.409241,0.000446865,-0.0025286
0.61,-0.424194,-0.423322,-0.00621251,-0.00748771
0.62,-0.163487,-0.40754,0.000403268,-0.0025504
0.63,-0.425938,-0.423453,-0.006267,-0.0075095
0.64,-0.166103,-0.407061,0.000370571,-0.0025722
0.65,-0.427246,-0.422712,-0.00623431,-0.0075422
0.66,-0.164795,-0.406189,0.000370571,-0.0025831
0.67,-0.425938,-0.423584,-0.00619071,-0.00747681
0.68,-0.164795,-0.406625,0.000359671,-0.0025831
0.69,-0.428118,-0.423279,-0.00623431,-0.00749861
0.7,-0.166975,-0.40693,0.000283378,-0.00262669
0.71,-0.427682,-0.422799,-0.00623431,-0.00747681
0.72,-0.165667,-0.406756,0.000403268,-0.0025722
0.73,-0.425066,-0.423584,-0.00619071,-0.00744411
0.74,-0.164359,-0.408848,0.000435965,-0.0025613
0.75,-0.42463,-0.423976,-0.00622341,-0.00745501
0.76,-0.165667,-0.407889,0.000370571,-0.0025722
0.77,-0.42681,-0.424238,-0.0062452,-0.00748771
0.78,-0.165667,-0.408107,0.000392369,-0.0025831
0.79,-0.423758,-0.424543,-0.00609262,-0.00741141
0.8,-0.163487,-0.408238,0.000414167,-0.0025613
0.81,-0.425066,-0.424587,-0.00617981,-0.00744411
0.82,-0.165231,-0.409154,0.00038147,-0.0025395
0.83,-0.42681,-0.424805,-0.00621251,-0.00747681
0.84,-0.165231,-0.409154,0.000370571,-0.0025722
0.85,-0.42245,-0.425066,-0.00622341,-0.00743321
0.86,-0.162615,-0.40754,0.000414167,-0.0025286
0.87,-0.422886,-0.424543,-0.00614711,-0.00740051
0.88,-0.165231,-0.408979,0.000337873,-0.0025613
0.89,-0.425502,-0.425023,-0.00620161,-0.00743321
0.9,-0.166539,-0.408369,0.000305176,-0.0025504
0.91,-0.424194,-0.425066,-0.00619071,-0.00745501
0.92,-0.163051,-0.408151,0.000403268,-0.0025722
0.93,-0.423758,-0.423715,-0.00621251,-0.00745501
0.94,-0.166103,-0.409197,0.000348772,-0.0025831
0.95,-0.425066,-0.424718,-0.00621251,-0.00747681
0.96,-0.167411,-0.408674,0.000305176,-0.00263759
0.97,-0.425502,-0.423758,-0.00620161,-0.00746591
0.98,-0.166103,-0.408936,0.000348772,-0.0025722
0.99,-0.423758,-0.423366,-0.00613621,-0.00742231
1,-0.166539,-0.408325,0.000261579,-0.00261579
1.01,-0.425938,-0.424151,-0.00620161,-0.00743321
1.02,-0.168719,-0.408107,0.000316075,-0.00260489
1.03,-0.425938,-0.423453,-0.00622341,-0.00744411
1.04,-0.167411,-0.408107,0.000359671,-0.0025831
1.05,-0.424194,-0.423758,-0.00615801,-0.00738961
1.06,-0.166539,-0.40911,0.000370571,-0.0025613
