DynoWare,Version 3.2.2.0
Path:,D:\Parn (paper ML Weld)\Post welding\
Filename:,Sample 12.dwd
Config ID:,Sample 12.cfg
Setup ID:,0
Manipulated:,0
Filename 1:, 
Filename 2:, 
Date:,Wednesday, January 01, 2025
Time:,18:48:28
Sampling rate [Hz]:,100
Measuring time [s]:,180
Delay time [s]:,0
Cycle time [s]:,0
Cycles:,1
Samples per channel:,18001
Cycle interval:,0
Cycle No:,1
Time,Mz,Fz,Fy,Fx
s,N,kN,kN,kN
0,9.49184,-0.517142,0.0420162,0.00232152
0.01,9.24072,-0.533011,0.0357383,-0.00240871
0.02,9.49053,-0.517927,0.0419835,0.00231062
0.03,9.24247,-0.533273,0.0357274,-0.00235421
0.04,9.48792,-0.518755,0.0419072,0.00225612
0.05,9.24029,-0.532968,0.0357165,-0.00237601
0.06,9.49053,-0.517753,0.042038,0.00234331
0.07,9.2429,-0.532488,0.0357819,-0.00234331
0.08,9.4901,-0.517796,0.0420271,0.00228882
0.09,9.24029,-0.533796,0.0356729,-0.00243051
0.1,9.48966,-0.51784,0.0419617,0.00226702
0.11,9.24377,-0.533099,0.0357383,-0.00235421
0.12,9.49053,-0.518276,0.0420162,0.00229972
0.13,9.24159,-0.533316,0.0357492,-0.00236511
0.14,9.48835,-0.517753,0.0419399,0.00229972
0.15,9.24247,-0.534145,0.0357492,-0.00233241
0.16,9.48966,-0.518886,0.0419617,0.00228882
0.17,9.24159,-0.534581,0.0357383,-0.00234331
0.18,9.48835,-0.519845,0.0419944,0.00227792
0.19,9.24247,-0.532706,0.0357492,-0.00235421
0.2,9.4901,-0.51784,0.0420271,0.00232152
0.21,9.24377,-0.532575,0.0357601,-0.00232152
0.22,9.48835,-0.517927,0.041929,0.00224522
0.23,9.24072,-0.533578,0.0357274,-0.00238691
0.24,9.4901,-0.518406,0.0419508,0.00223432
0.25,9.24552,-0.534014,0.0358255,-0.00233241
0.26,9.4914,-0.519714,0.0420053,0.00231062
0.27,9.24203,-0.534842,0.0357383,-0.00237601
0.28,9.48617,-0.51954,0.0419399,0.00221252
0.29,9.24159,-0.534799,0.0357492,-0.00238691
0.3,9.48966,-0.519235,0.0420489,0.00232152
0.31,9.24421,-0.534014,0.035771,-0.00234331
0.32,9.48879,-0.518537,0.0419944,0.00227792
0.33,9.24159,-0.533055,0.0357601,-0.00237601
0.34,9.48704,-0.519584,0.0419181,0.00223432
0.35,9.24203,-0.534058,0.0358037,-0.00236511
0.36,9.48792,-0.518581,0.0419399,0.00223432
0.37,9.24334,-0.534101,0.0357819,-0.00233241
0.38,9.48661,-0.518886,0.0419617,0.00224522
0.39,9.24116,-0.534755,0.035771,-0.00239781
0.4,9.48879,-0.518755,0.0420053,0.00224522
0.41,9.24334,-0.53384,0.0358037,-0.00238691
0.42,9.48573,-0.519496,0.0419399,0.00223432
0.43,9.24116,-0.533316,0.0357492,-0.00236511
0.44,9.48661,-0.518537,0.0420053,0.00225612
0.45,9.24377,-0.533665,0.0358582,-0.00231062
0.46,9.48922,-0.518842,0.0420053,0.00227792
0.47,9.24203,-0.532793,0.0358255,-0.00234331
0.48,9.48617,-0.517622,0.0418963,0.00222342
0.49,9.24247,-0.533316,0.0357274,-0.00234331
0.5,9.48966,-0.519104,0.0419944,0.00229972
0.51,9.24508,-0.534624,0.0358146,-0.00232152
0.52,9.48617,-0.519366,0.041929,0.00223432
0.53,9.2429,-0.534101,0.0357383,-0.00234331
0.54,9.48573,-0.519758,0.0419181,0.00223432
0.55,9.2429,-0.534537,0.0358255,-0.00232152
0.56,9.48792,-0.518145,0.0419508,0.00226702
0.57,9.24334,-0.53506,0.0358582,-0.00233241
0.58,9.48617,-0.520325,0.0418745,0.00224522
0.59,9.24377,-0.535191,0.0358255,-0.00231062
0.6,9.48748,-0.519802,0.0419617,0.00222342
0.61,9.24508,-0.533796,0.0357928,-0.00231062
0.62,9.48704,-0.518668,0.041929,0.00226702
0.63,9.2429,-0.533011,0.0357492,-0.00236511
0.64,9.4853,-0.519322,0.041929,0.00223432
0.65,9.24377,-0.533534,0.0357819,-0.00233241
0.66,9.48922,-0.518712,0.0419944,0.00227792
0.67,9.24552,-0.534101,0.0358255,-0.00229972
0.68,9.48617,-0.517709,0.0418745,0.00225612
0.69,9.24072,-0.534276,0.0357819,-0.00238691
0.7,9.48748,-0.519496,0.0418745,0.00226702
0.71,9.2477,-0.53275,0.0358255,-0.00227792
0.72,9.48966,-0.519453,0.0420162,0.00227792
0.73,9.2429,-0.533534,0.0358364,-0.00235421
0.74,9.48661,-0.519496,0.0419617,0.00220163
0.75,9.24465,-0.534581,0.0357492,-0.00237601
0.76,9.48922,-0.520281,0.0420053,0.00226702
